
Pica d'Estats; Pallars Sobirà, Arieja; Pirineus; 3.143,5 m 
Pic Verdaguer; Pallars Sobirà, Arieja; Pirineus; 3.129,4 m 
Punta Gabarró; Pallars Sobirà, Arieja; Pirineus; 3.114,6 m 
Pic de Sotllo; Pallars Sobirà, Arieja; Pirineus; 3.072,8 m 
Comaloforno; Alta Ribagorça; Pirineus; 3.029,2 m 
Besiberri Sud; Alta Ribagorça; Pirineus; 3.023,4 m 
Punta Alta de Comalesbienes; Alta Ribagorça; Pirineus; 3.014,0 m 
Tuc de Molières; Vall d'Aran, Ribagorça; Pirineus; 3.010,1 m 
Besiberri Nord; Alta Ribagorça, La Vall d'Aran; Pirineus; 3.008,3 m 
Rodó de Canalbona; Pallars Sobirà, Arieja; Pirineus; 3.004,3 m 
Punta de Passet; Alta Ribagorça; Pirineus; 2.997,6 m 
Besiberri del Mig; Alta Ribagorça; Pirineus; 2.995,2 m 
Pic de Comalesbienes; Alta Ribagorça; Pirineus; 2.993,3 m 
Pic de la Pala Alta de Sarradé; Alta Ribagorça; Pirineus; 2.983,4 m 
Pic d'Abellers; Alta Ribagorça; Pirineus; 2.983,4 m 
Pic de Peguera; Pallars Jussà, Pallars Sobirà; Pirineus; 2.982,7 m 
Crestells de Colieto; Alta Ribagorça; Pirineus; 2.967,1 m 
Punta de Lequeutre; Alta Ribagorça; Pirineus; 2.966,2 m 
Pic de Canalbona; Pallars Sobirà, Arieja; Pirineus; 2.965,3 m 
Guins de l'Ase; Pallars Sobirà; Pirineus; 2.961,1 m 
Pic de Contraix; Alta Ribagorça; Pirineus; 2.958,0 m 
Pic dels Estanys; Pallars Sobirà; Pirineus; 2.956,0 m 
Punta Senyalada; Alta Ribagorça; Pirineus; 2.952,6 m 
Pic de Subenuix; Pallars Sobirà; Pirineus; 2.950,2 m 
Pic de Sarradé; Alta Ribagorça; Pirineus; 2.942,2 m 
Pic de Baborte; Pallars Sobirà; Pirineus; 2.933,8 m 
Gran Tuc de Colomèrs; Alta Ribagorça, La Vall d'Aran; Pirineus; 2.933,4 m 
Roca Entravessada; Pallars Sobirà, Andorra; Pirineus; 2.928,6 m 
El Carlit; Alta Cerdanya, Capcir; Pirineus; 2.921,0 m 
Pic de l'Estany Fondo; Pallars Sobirà; Pirineus; 2.813,7 m 
Puigpedrós; Baixa Cerdanya, Alta Cerdanya; Pirineus; 2.912,6 m 
Puigmal; Ripollès, Alta Cerdanya; Pirineus; 2.909,8 m 
Pic de la Mainera; Pallars Sobirà, Pallars Jussà; Pirineus; 2.909,3 m 
Tuc de Saburó; Pallars Sobirà, Pallars Jussà; Pirineus; 2.905,7 m 
Pic de Medacorba; Pallars Sobirà; Pirineus; 2.905,3 m 
Monteixo; Pallars Sobirà; Pirineus; 2.905,1 m 
Tossa Plana de Lles; Baixa Cerdanya, Andorra; Pirineus; 2.904,9 m 
Pics de Bassiero; Pallars Sobirà; Pirineus; 2.903,5 m 
Pic Morto; Pallars Jussà, Pallars Sobirà; Pirineus; 2.902,0 m 
Creu de Colomèrs; La Vall d'Aran; Pirineus; 2.894,9 m 
Montsaliente; Pallars Sobirà; Pirineus; 2.890,4 m 
Pic de Baiau; Pallars Sobirà; Pirineus; 2.885,5 m 
Punta d'Harlé; Alta Ribagorça; Pirineus; 2.885,0 m 
Pic de Fonguero; Pallars Sobirà; Pirineus; 2.884,5 m 
Montsent de Pallars; Pallars Jussà; Pirineus; 2.883,1 m 
Pic de Sanfonts; Pallars Sobirà; Pirineus; 2.882,4 m 
Pic Inferior de Subenuix; Pallars Sobirà; Pirineus; 2.881,6 m 
Bastiments; Ripollès, Conflent; Pirineus; 2.881,3 m 
Pic de Sobremonestero; Pallars Sobirà, Pallars Jussà; Pirineus; 2.879,6 m 
Tuc Blanc; Alta Ribagorça, La Vall d'Aran; Pirineus; 2.879,1 m 
